,Open,High,Low,Close,Volume
2025-07-01 08:59:00,2987.0,2987.0,2987.0,2987.0,411093.0
2025-07-01 09:00:00,2987.0,2988.0,2984.0,2987.0,49787944.0
2025-07-01 09:01:00,2987.0,2989.0,2986.0,2987.0,51198773.0
2025-07-01 09:02:00,2986.0,2987.0,2985.0,2985.0,51732109.0
2025-07-01 09:03:00,2985.0,2986.0,2984.0,2984.0,52170712.0
2025-07-01 09:04:00,2984.0,2985.0,2982.0,2982.0,53160698.0
2025-07-01 09:05:00,2983.0,2983.0,2981.0,2982.0,54939412.0
2025-07-01 09:06:00,2983.0,2983.0,2981.0,2981.0,55869005.0
2025-07-01 09:07:00,2982.0,2983.0,2980.0,2983.0,56962376.0
2025-07-01 09:08:00,2982.0,2984.0,2982.0,2983.0,57931541.0
2025-07-01 09:09:00,2984.0,2985.0,2983.0,2984.0,58721582.0
2025-07-01 09:10:00,2984.0,2984.0,2983.0,2983.0,59205314.0
2025-07-01 09:11:00,2984.0,2987.0,2983.0,2985.0,60039944.0
2025-07-01 09:12:00,2985.0,2986.0,2985.0,2986.0,60555565.0
2025-07-01 09:13:00,2986.0,2986.0,2983.0,2984.0,60951540.0
2025-07-01 09:14:00,2984.0,2984.0,2982.0,2983.0,61171243.0
2025-07-01 09:15:00,2983.0,2983.0,2982.0,2982.0,61574854.0
2025-07-01 09:16:00,2982.0,2983.0,2980.0,2980.0,62218109.0
2025-07-01 09:17:00,2980.0,2982.0,2980.0,2981.0,63182289.0
2025-07-01 09:18:00,2981.0,2983.0,2981.0,2981.0,63981597.0
2025-07-01 09:19:00,2981.0,2982.0,2978.0,2978.0,64662801.0
2025-07-01 09:20:00,2978.0,2979.0,2977.0,2979.0,66781829.0
2025-07-01 09:21:00,2978.0,2979.0,2978.0,2979.0,67420638.0
2025-07-01 09:22:00,2978.0,2980.0,2978.0,2980.0,68111480.0
2025-07-01 09:23:00,2980.0,2980.0,2979.0,2980.0,68048426.0
2025-07-01 09:24:00,2980.0,2980.0,2978.0,2979.0,68892917.0
2025-07-01 09:25:00,2978.0,2979.0,2978.0,2978.0,69370487.0
2025-07-01 09:26:00,2978.0,2981.0,2978.0,2980.0,69901890.0
2025-07-01 09:27:00,2980.0,2981.0,2980.0,2981.0,70406726.0
2025-07-01 09:28:00,2981.0,2981.0,2980.0,2980.0,70815076.0
2025-07-01 09:29:00,2981.0,2981.0,2980.0,2980.0,71021128.0
2025-07-01 09:30:00,2980.0,2980.0,2978.0,2979.0,71494650.0
2025-07-01 09:31:00,2979.0,2979.0,2978.0,2978.0,71772096.0
2025-07-01 09:32:00,2978.0,2979.0,2977.0,2978.0,72357682.0
2025-07-01 09:33:00,2978.0,2979.0,2977.0,2978.0,72892287.0
2025-07-01 09:34:00,2978.0,2979.0,2977.0,2979.0,73318136.0
2025-07-01 09:35:00,2978.0,2982.0,2978.0,2981.0,74021212.0
2025-07-01 09:36:00,2981.0,2982.0,2980.0,2980.0,74782189.0
